Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Total_Income_log,EMI,EMI_Ratio,Loan_Income_Ratio,Income_Category,ApplicantIncome_log,CoapplicantIncome_log,LoanAmount_log
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,5849.0,8.674196940225903,355.55555555555554,0.7294694249729298,21.884082749187897,Medium,8.674196940225903,0.0,4.859812404361672
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,8.714731714015052,355.55555555555554,0.7004870574071034,21.0146117222131,Medium,8.430327258394575,7.319202458767849,4.859812404361672
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,8.006700845440367,183.33333333333334,0.7333333333333334,22.0,Low,8.006700845440367,0.0,4.204692619390966
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,8.505525386548555,333.3333333333333,0.8095527221210281,24.286581663630844,Medium,7.857093864902493,7.765993079407675,4.795790545596741
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,8.699681400989514,391.6666666666667,0.7833333333333333,23.5,Medium,8.699681400989514,0.0,4.955827057601261
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,9.170975648453906,741.6666666666666,0.925829605742224,27.77488817226672,High,8.59748202264504,8.34212526333359,5.5909869805108565
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,8.25582842728183,263.8888888888889,0.8227245171906123,24.68173551571837,Low,7.755338812846501,7.324489979348532,4.564348191467836
Male,Yes,3,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,8.61993026886735,438.8888888888889,0.950661853188929,28.51985559566787,Medium,8.01862546504575,7.826044013518965,5.0689042022202315
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,8.618485442898109,466.6666666666667,1.0122921185827911,30.36876355748373,Medium,8.295798110636145,7.3310603052186325,5.1298987149230735
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,10.077860939480908,969.4444444444445,0.48861074943648763,14.658322483094627,High,9.460476328353995,9.302828391411333,5.857933154483459
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,8.268988209506656,194.44444444444446,0.5982905982905983,17.94871794871795,Low,8.071218539969863,6.55250788703459,4.2626798770413155
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,8.375860015299594,302.77777777777777,0.8371735791090629,25.11520737327189,Medium,7.824445930877619,7.518064181233078,4.700480365792417
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,9.32188174670909,555.5555555555555,0.5963562632316546,17.890687896949636,High,8.03073492409854,9.000483164987708,5.303304908059076
